verbatimScientificName,individualCount,decimalLatitude,decimalLongitude,eventDate,day,month,year,stateProvince,week
Hirundo rustica,2.0,4.941145,-74.005905,2021-10-24,24,10,2021,Cundinamarca,43
Cardellina canadensis,2.0,4.273781,-73.58685,2021-10-18,18,10,2021,Meta,42
Vireo flavoviridis,2.0,4.658577,-74.09362,2021-10-24,24,10,2021,Distrito Capital de Bogotá,43
Hirundo rustica,12.0,12.599664,-81.68996,2021-09-06,6,9,2021,San Andrés Providencia y Santa Catalina,36
Hirundo rustica,1.0,4.950268,-73.95247,2021-11-19,19,11,2021,Cundinamarca,46
Vireo flavoviridis,1.0,4.997564,-75.55133,2021-09-04,4,9,2021,Caldas,35
Cardellina canadensis,1.0,6.180731,-75.67313,2021-12-08,8,12,2021,Antioquia,49
Vireo flavoviridis,2.0,4.843038,-75.81861,2021-10-09,9,10,2021,Risaralda,40
Cardellina canadensis,1.0,1.887247,-76.29516,2021-01-06,6,1,2021,Huila,1
Cardellina canadensis,1.0,4.56372,-75.32684,2021-12-07,7,12,2021,Tolima,49
Vireo flavoviridis,2.0,1.876899,-76.05237,2021-10-09,9,10,2021,Huila,40
Hirundo rustica,5.0,11.410284,-73.06193,2021-12-11,11,12,2021,La Guajira,49
Cardellina canadensis,1.0,5.390938,-74.928444,2021-11-01,1,11,2021,Caldas,44
Cardellina canadensis,2.0,7.077884,-75.40237,2021-12-19,19,12,2021,Antioquia,51
Cardellina canadensis,3.0,1.856717,-76.22914,2021-01-06,6,1,2021,Huila,1
Hirundo rustica,6.0,7.841163,-76.61555,2021-12-23,23,12,2021,Antioquia,51
Vireo flavoviridis,2.0,11.294044,-73.2185,2021-10-15,15,10,2021,La Guajira,41
Hirundo rustica,4.0,12.550158,-81.71935,2021-10-09,9,10,2021,San Andrés Providencia y Santa Catalina,40
Cardellina canadensis,2.0,4.668008,-74.08802,2021-12-30,30,12,2021,Distrito Capital de Bogotá,52
Hirundo rustica,5.0,4.993412,-75.61849,2021-11-13,13,11,2021,Caldas,45
Hirundo rustica,1.0,4.950268,-73.95247,2021-11-19,19,11,2021,Cundinamarca,46
Cardellina canadensis,1.0,3.528089,-76.61703,2021-10-10,10,10,2021,Valle del Cauca,41
Cardellina canadensis,2.0,4.634426,-75.57585,2021-01-25,25,1,2021,Quindío,4
Cardellina canadensis,2.0,5.820613,-76.172676,2021-11-05,5,11,2021,Chocó,44
